p_val,avg_log2FC,pct.1,pct.2,p_val_adj,ratio,gene,,,,,,,,,,,
2.68872E-25,0.311978232,0.331,0.114,4.32453E-21,2.903508772,Ruvbl2,,,,,,,,,,,
9.43337E-08,0.311831176,0.627,0.596,0.001517263,1.052013423,Scp2,,,,,,,,,,,
2.45396E-26,0.311694374,0.345,0.117,3.94695E-22,2.948717949,Cnot1,,,,,,,,,,,
1.25054E-16,0.311401548,0.367,0.186,2.01137E-12,1.97311828,Fam195a,,,,,,,,,,,
6.03844E-15,0.311391448,0.412,0.238,9.71223E-11,1.731092437,Hnrnpul2,,,,,,,,,,,
2.40527E-17,0.311369691,0.401,0.214,3.86864E-13,1.873831776,Oard1,,,,,,,,,,,
6.41316E-27,0.311190949,0.268,0.067,1.03149E-22,4,Cdk1,,,,,,,,,,,
6.98114E-17,0.311139021,0.379,0.193,1.12285E-12,1.96373057,Psmd6,,,,,,,,,,,
4.86483E-10,0.310888182,0.483,0.368,7.8246E-06,1.3125,Tbrg1,,,,,,,,,,,
5.63763E-09,0.310676268,0.562,0.491,9.06756E-05,1.144602851,Prr15l,,,,,,,,,,,
3.16355E-15,0.310455413,0.415,0.237,5.08826E-11,1.751054852,Pitpna,,,,,,,,,,,
1.25731E-12,0.309878536,0.46,0.321,2.02225E-08,1.433021807,Zcrb1,,,,,,,,,,,
4.85303E-10,0.309645021,0.452,0.338,7.80562E-06,1.337278107,Bud31,,,,,,,,,,,
8.97468E-19,0.309401936,0.209,0.057,1.44349E-14,3.666666667,Onecut2,,,,,,,,,,,
8.03864E-15,0.309373585,0.393,0.221,1.29294E-10,1.778280543,Ctsh,,,,,,,,,,,
6.1267E-18,0.309262282,0.398,0.206,9.85418E-14,1.932038835,Alad,,,,,,,,,,,
6.95609E-18,0.309224989,0.452,0.248,1.11882E-13,1.822580645,Eprs,,,,,,,,,,,
1.59887E-25,0.308935277,0.291,0.084,2.57163E-21,3.464285714,Usp1,,,,,,,,,,,
1.60079E-09,0.308354913,0.811,0.814,2.57471E-05,0.996314496,Wbp5,,,,,,,,,,,
6.49622E-18,0.308280112,0.373,0.18,1.04485E-13,2.072222222,Pum2,,,,,,,,,,,
2.06635E-08,0.308191959,0.599,0.533,0.000332352,1.123827392,Atp6v0e,,,,,,,,,,,
9.09054E-17,0.307894203,0.215,0.069,1.46212E-12,3.115942029,H2-Aa,,,,,,,,,,,
1.99341E-17,0.307474019,0.373,0.185,3.2062E-13,2.016216216,Ppp2r1a,,,,,,,,,,,
2.65195E-25,0.307449058,0.347,0.123,4.2654E-21,2.821138211,Fdx1,,,,,,,,,,,
3.49613E-18,0.307393068,0.398,0.201,5.62318E-14,1.980099502,Thrap3,,,,,,,,,,,
1.1154E-14,0.307294725,0.418,0.242,1.79401E-10,1.727272727,Rsrc2,,,,,,,,,,,
2.84258E-22,0.307294639,0.421,0.195,4.572E-18,2.158974359,Nr2f6,,,,,,,,,,,
2.57159E-13,0.307059767,0.458,0.308,4.13615E-09,1.487012987,Pigp,,,,,,,,,,,
1.9925E-20,0.307036874,0.322,0.131,3.20474E-16,2.458015267,Rad21,,,,,,,,,,,
3.04299E-16,0.30700172,0.503,0.319,4.89434E-12,1.576802508,Abhd17a,,,,,,,,,,,
4.03209E-26,0.307000685,0.387,0.146,6.48522E-22,2.650684932,Rbbp4,,,,,,,,,,,
5.04845E-22,0.306685498,0.353,0.144,8.11993E-18,2.451388889,Gm10263,,,,,,,,,,,
7.08047E-11,0.306669833,0.497,0.372,1.13882E-06,1.336021505,Zfand6,,,,,,,,,,,
2.54369E-12,0.306456105,0.435,0.281,4.09127E-08,1.548042705,Pon2,,,,,,,,,,,
7.11658E-09,0.306365413,0.477,0.381,0.000114463,1.251968504,Serpinb6a,,,,,,,,,,,
5.25441E-38,0.306172925,0.305,0.058,8.45119E-34,5.25862069,Dapk2,,,,,,,,,,,
1.89971E-39,0.305667664,0.331,0.066,3.0555E-35,5.015151515,Exosc8,,,,,,,,,,,
3.34179E-10,0.305579593,0.395,0.259,5.37493E-06,1.525096525,Prkcsh,,,,,,,,,,,
1.68583E-24,0.305446512,0.401,0.172,2.71149E-20,2.331395349,Uchl3,,,,,,,,,,,
2.14089E-26,0.305432815,0.35,0.121,3.4434E-22,2.892561983,Cuedc2,,,,,,,,,,,
8.63959E-12,0.305347181,0.525,0.399,1.38959E-07,1.315789474,Prr13,,,,,,,,,,,
